Time (min),Temperature (C),TG (mg),Mass Percentage,Conversion
4.4,82.89,7.7962,89.0353231387687,0.611411832133987
4.4167,82.4,7.7942,89.0124824412137,0.612685474113227
4.4334,82.45,7.7922,88.9896417436589,0.613959116092466
4.45,82.52,7.7902,88.966801046104,0.615232758071706
4.4667,82.81,7.7882,88.943960348549,0.616506400050946
4.4834,82.29,7.7863,88.9222616858719,0.617716359931223
4.5,82.46,7.7843,88.899420988317,0.618990001910463
4.5167,82.33,7.7824,88.8777223256398,0.620199961790741
4.5334,82.89,7.7805,88.8560236629627,0.621409921671018
4.55,82.41,7.7786,88.8343250002855,0.622619881551296
4.5667,82.43,7.7767,88.8126263376084,0.623829841431574
4.5834,82.76,7.7749,88.7920697098089,0.624976119212889
4.6,82.81,7.773,88.7703710471318,0.626186079093167
4.6167,82.57,7.7712,88.7498144193324,0.627332356874482
4.6334,82.61,7.7693,88.7281157566552,0.62854231675476
4.65,82.47,7.7675,88.7075591288558,0.629688594536076
4.6667,82.78,7.7657,88.6870025010564,0.630834872317392
4.6834,82.55,7.7639,88.666445873257,0.631981150098707
4.7,82.5,7.7621,88.6458892454576,0.633127427880023
4.7167,82.5,7.7603,88.6253326176582,0.634273705661338
4.7334,82.64,7.7586,88.6059180247365,0.635356301343692
4.75,82.36,7.7568,88.5853613969371,0.636502579125008
4.7667,82.52,7.7551,88.5659468040154,0.637585174807362
4.7834,82.94,7.7533,88.545390176216,0.638731452588677
4.8,82.64,7.7516,88.5259755832943,0.639814048271031
4.8167,82.53,7.7499,88.5065609903726,0.640896643953384
4.8334,82.48,7.7482,88.487146397451,0.641979239635738
4.85,82.67,7.7465,88.4677318045293,0.643061835318092
4.8667,82.52,7.7448,88.4483172116076,0.644144431000446
4.8834,82.6,7.7432,88.4300446535637,0.645163344583837
4.9,82.51,7.7415,88.4106300606421,0.646245940266191
4.9167,82.48,7.7398,88.3912154677204,0.647328535948545
4.9334,82.45,7.7382,88.3729429096765,0.648347449531936
4.95,82.58,7.7366,88.3546703516325,0.649366363115328
4.9667,82.48,7.7349,88.3352557587109,0.650448958797682
4.9834,82.57,7.7333,88.3169832006669,0.651467872381074
5,82.53,7.7317,88.298710642623,0.652486785964465
5.0167,82.54,7.7301,88.2804380845791,0.653505699547857
5.0334,82.6,7.7285,88.2621655265352,0.654524613131248
5.05,82.57,7.7269,88.2438929684913,0.655543526714641
5.0667,82.38,7.7253,88.2256204104473,0.656562440298032
5.0834,82.74,7.7237,88.2073478524034,0.657581353881424
5.1,82.43,7.7222,88.1902173292372,0.658536585365854
5.1167,82.42,7.7206,88.1719447711933,0.659555498949245
5.1334,82.18,7.719,88.1536722131494,0.660574412532637
5.15,82.43,7.7175,88.1365416899832,0.661529644017066
5.1667,82.45,7.7159,88.1182691319393,0.662548557600459
5.1834,82.33,7.7144,88.1011386087731,0.663503789084888
5.2,82.65,7.7129,88.0840080856069,0.664459020569318
5.2167,82.71,7.7114,88.0668775624408,0.665414252053747
5.2334,82.55,7.7098,88.0486050043968,0.66643316563714
5.25,82.61,7.7083,88.0314744812307,0.667388397121569
5.2667,82.62,7.7068,88.0143439580645,0.668343628605999
5.2834,82.86,7.7053,87.9972134348983,0.669298860090428
5.3,82.61,7.7039,87.9812249466099,0.670190409475896
5.3167,82.8,7.7024,87.9640944234437,0.671145640960326
5.3334,82.6,7.7009,87.9469639002775,0.672100872444756
5.35,82.53,7.6994,87.9298333771113,0.673056103929185
5.3667,82.59,7.698,87.9138448888229,0.673947653314653
5.3834,82.68,7.6965,87.8967143656567,0.674902884799083
5.4,82.73,7.695,87.8795838424906,0.675858116283512
5.4167,82.56,7.6936,87.8635953542021,0.67674966566898
5.4334,82.74,7.6921,87.846464831036,0.67770489715341
5.45,82.84,7.6907,87.8304763427475,0.678596446538878
5.4667,82.47,7.6893,87.8144878544591,0.679487995924345
5.4834,82.65,7.6878,87.7973573312929,0.680443227408775
5.5,82.78,7.6864,87.7813688430045,0.681334776794243
5.5167,82.58,7.685,87.7653803547161,0.68222632617971
5.5334,82.36,7.6836,87.7493918664276,0.683117875565178
5.55,82.9,7.6822,87.7334033781392,0.684009424950646
5.5667,82.59,7.6808,87.7174148898507,0.684900974336114
5.5834,82.41,7.6794,87.7014264015623,0.685792523721582
5.6,82.74,7.678,87.6854379132739,0.686684073107049
5.6167,82.57,7.6766,87.6694494249854,0.687575622492517
5.6334,82.81,7.6752,87.653460936697,0.688467171877985
5.65,82.67,7.6738,87.6374724484086,0.689358721263453
5.6667,82.68,7.6725,87.6226259949979,0.690186588549958
5.6834,82.48,7.6711,87.6066375067095,0.691078137935426
5.7,82.55,7.6697,87.590649018421,0.691969687320894
5.7167,82.6,7.6684,87.5758025650103,0.6927975546074
5.7334,82.7,7.667,87.5598140767219,0.693689103992868
5.75,82.62,7.6657,87.5449676233112,0.694516971279373
5.7667,82.56,7.6643,87.5289791350228,0.695408520664841
5.7834,82.84,7.663,87.5141326816121,0.696236387951347
5.8,82.33,7.6616,87.4981441933237,0.697127937336815
5.8167,82.5,7.6603,87.483297739913,0.69795580462332
5.8334,82.23,7.659,87.4684512865023,0.698783671909826
5.85,82.56,7.6576,87.4524627982139,0.699675221295293
5.8667,82.35,7.6563,87.4376163448032,0.7005030885818
5.8834,82.69,7.655,87.4227698913925,0.701330955868305
5.9,82.6,7.6537,87.4079234379818,0.702158823154811
5.9167,82.31,7.6524,87.3930769845711,0.702986690441317
5.9334,82.57,7.6511,87.3782305311604,0.703814557727823
5.95,82.66,7.6497,87.362242042872,0.70470610711329
5.9667,82.51,7.6484,87.3473955894613,0.705533974399796
5.9834,82.82,7.6472,87.3336911709284,0.70629815958734
6,82.69,7.6459,87.3188447175177,0.707126026873846
6.0167,82.65,7.6446,87.303998264107,0.707953894160351
